lane,variant,truth,storage_codec,model_codec,pred,n
dino,-10,NOISE,bfp8,sc16,NOISE,728
dino,-10,NOISE,bfp8,sc16,Narrowband_FM,63
dino,-10,NOISE,bfp8,sc16,OFDM,2943
dino,-10,NOISE,bfp8,sc16,QPSK,66
dino,-10,NOISE,none,bfp12,16QAM,141
dino,-10,NOISE,none,bfp12,5G_Downlink,1636
dino,-10,NOISE,none,bfp12,802_11ax,2403
dino,-10,NOISE,none,bfp12,BPSK,131
dino,-10,NOISE,none,bfp12,Bluetooth,54
dino,-10,NOISE,none,bfp12,Broadband_FM,1536
dino,-10,NOISE,none,bfp12,NOISE,907
dino,-10,NOISE,none,bfp12,Narrowband_FM,73
dino,-10,NOISE,none,bfp12,OFDM,2231
dino,-10,NOISE,none,bfp12,QPSK,132
dino,-10,NOISE,none,bfp8,16QAM,135
dino,-10,NOISE,none,bfp8,5G_Downlink,1740
dino,-10,NOISE,none,bfp8,802_11ax,2138
dino,-10,NOISE,none,bfp8,BPSK,98
dino,-10,NOISE,none,bfp8,Bluetooth,59
dino,-10,NOISE,none,bfp8,Broadband_FM,1864
dino,-10,NOISE,none,bfp8,NOISE,842
dino,-10,NOISE,none,bfp8,Narrowband_FM,96
dino,-10,NOISE,none,bfp8,OFDM,2144
dino,-10,NOISE,none,bfp8,QPSK,128
dino,-10,NOISE,none,none,16QAM,219
dino,-10,NOISE,none,none,5G_Downlink,1899
dino,-10,NOISE,none,none,802_11ax,2330
dino,-10,NOISE,none,none,BPSK,183
dino,-10,NOISE,none,none,Bluetooth,79
dino,-10,NOISE,none,none,Broadband_FM,1282
dino,-10,NOISE,none,none,NOISE,764
dino,-10,NOISE,none,none,Narrowband_FM,98
dino,-10,NOISE,none,none,OFDM,2315
dino,-10,NOISE,none,none,QPSK,75
dino,-10,NOISE,none,sc16,16QAM,147
dino,-10,NOISE,none,sc16,5G_Downlink,1739
dino,-10,NOISE,none,sc16,802_11ax,2588
dino,-10,NOISE,none,sc16,BPSK,98
dino,-10,NOISE,none,sc16,Bluetooth,43
dino,-10,NOISE,none,sc16,Broadband_FM,795
dino,-10,NOISE,none,sc16,NOISE,741
dino,-10,NOISE,none,sc16,Narrowband_FM,64
dino,-10,NOISE,none,sc16,OFDM,2962
dino,-10,NOISE,none,sc16,QPSK,67
dino,-10,NOISE,sc16,bfp12,16QAM,140
dino,-10,NOISE,sc16,bfp12,5G_Downlink,1635
dino,-10,NOISE,sc16,bfp12,802_11ax,2403
dino,-10,NOISE,sc16,bfp12,BPSK,131
dino,-10,NOISE,sc16,bfp12,Bluetooth,54
dino,-10,NOISE,sc16,bfp12,Broadband_FM,1537
dino,-10,NOISE,sc16,bfp12,NOISE,907
dino,-10,NOISE,sc16,bfp12,Narrowband_FM,73
dino,-10,NOISE,sc16,bfp12,OFDM,2232
dino,-10,NOISE,sc16,bfp12,QPSK,132
dino,-10,NOISE,sc16,bfp8,16QAM,135
dino,-10,NOISE,sc16,bfp8,5G_Downlink,1740
dino,-10,NOISE,sc16,bfp8,802_11ax,2134
dino,-10,NOISE,sc16,bfp8,BPSK,98
dino,-10,NOISE,sc16,bfp8,Bluetooth,59
dino,-10,NOISE,sc16,bfp8,Broadband_FM,1865
dino,-10,NOISE,sc16,bfp8,NOISE,842
dino,-10,NOISE,sc16,bfp8,Narrowband_FM,96
dino,-10,NOISE,sc16,bfp8,OFDM,2146
dino,-10,NOISE,sc16,bfp8,QPSK,129
dino,-10,NOISE,sc16,none,16QAM,219
dino,-10,NOISE,sc16,none,5G_Downlink,1899
dino,-10,NOISE,sc16,none,802_11ax,2330
dino,-10,NOISE,sc16,none,BPSK,183
