ts,mem_used_gb,mem_avail_gb,swap_used_gb,gpu_mem_mb,gpu_util,load1,my_rss_gb,warn
01:35:24,24.8,100.2,6.2,3753,100,1.08,8.8,
01:36:24,24.9,100.2,6.2,3753,100,1.09,11.3,
01:37:24,24.8,100.2,6.2,3753,100,1.13,13.8,
01:38:24,24.8,100.3,6.2,3753,100,1.20,16.2,
01:39:24,24.8,100.2,6.2,3753,100,1.14,8.6,
01:40:24,24.8,100.2,6.2,3753,100,1.13,11.1,
01:41:24,24.8,100.2,6.2,3753,100,1.37,13.6,
01:42:24,24.8,100.3,6.2,3753,100,2.21,16.0,
01:43:24,24.7,100.4,6.2,3753,7,1.64,8.5,
01:44:24,24.9,100.2,6.2,3753,100,1.19,11.1,
01:45:25,24.7,100.3,6.2,3753,100,1.07,13.4,
01:46:25,24.7,100.3,6.2,3753,100,1.02,15.9,
01:47:25,24.7,100.3,6.2,3753,100,1.12,9.8,
01:48:25,24.8,100.3,6.2,3753,100,1.04,10.9,
01:49:25,24.8,100.2,6.2,3753,100,1.50,13.4,
01:50:25,24.8,100.2,6.2,3753,100,1.33,15.8,
01:51:25,24.8,100.2,6.2,3753,100,1.18,9.7,
01:52:25,24.8,100.3,6.2,3753,100,1.10,10.8,
01:53:25,24.8,100.2,6.2,3753,100,1.03,13.2,
01:54:25,24.8,100.3,6.2,3753,100,1.48,15.6,
01:55:25,24.8,100.2,6.2,3753,100,1.37,9.6,
01:56:25,24.6,100.4,6.2,6891,100,1.36,7.2,
01:57:25,24.7,100.3,6.2,6891,100,1.26,8.8,
01:58:25,24.7,100.3,6.2,6891,100,1.49,10.4,
01:59:25,24.8,100.3,6.2,6891,100,1.58,11.9,
02:00:25,24.8,100.3,6.2,6891,100,1.34,13.4,
02:01:26,24.8,100.2,6.2,6891,100,1.32,9.4,
02:02:26,24.4,100.6,6.2,6891,100,1.33,9.9,
02:03:26,24.5,100.5,6.2,6891,100,1.22,11.5,
02:04:26,24.5,100.5,6.2,6891,100,1.79,13.1,
02:05:26,24.5,100.5,6.2,6891,100,1.40,14.6,
02:06:26,24.5,100.5,6.2,6891,100,1.27,16.1,
02:07:26,24.4,100.6,6.2,6891,100,1.26,9.5,
02:08:26,24.5,100.6,6.2,6891,100,1.82,9.8,
02:09:26,24.5,100.6,6.2,6891,100,1.39,11.4,
02:10:26,24.5,100.5,6.2,6891,100,1.40,13.0,
02:11:26,24.5,100.5,6.2,6891,100,1.32,14.5,
02:12:26,24.5,100.6,6.2,6891,100,1.38,16.0,
02:13:26,24.6,100.5,6.2,6891,100,1.27,9.5,
02:14:26,24.5,100.5,6.2,6891,100,1.29,9.8,
02:15:26,24.5,100.5,6.2,6891,100,1.14,11.4,
02:16:27,24.5,100.6,6.2,6891,100,1.12,13.0,
02:17:27,24.5,100.5,6.2,6891,100,1.20,14.5,
02:18:27,24.5,100.5,6.2,6891,100,1.16,16.1,
02:19:27,24.6,100.5,6.2,6891,100,1.59,9.5,
02:20:27,24.4,100.6,6.2,6891,100,1.40,9.8,
02:21:27,24.5,100.5,6.2,6891,100,1.15,11.4,
02:22:27,24.7,100.3,6.2,6891,100,1.10,13.0,
02:23:27,24.6,100.4,6.2,6891,100,1.16,14.5,
02:24:27,24.5,100.5,6.2,6891,100,1.17,16.1,
02:25:27,24.5,100.5,6.2,6891,100,1.20,9.5,
02:26:27,24.6,100.5,6.2,6891,100,1.35,9.8,
02:27:27,24.6,100.5,6.2,6891,100,1.27,11.4,
02:28:27,24.6,100.4,6.2,6891,100,1.21,13.0,
02:29:27,24.6,100.4,6.2,6891,100,1.19,14.5,
02:30:27,24.5,100.5,6.2,6891,100,1.91,16.1,
02:31:28,24.6,100.4,6.2,6891,100,1.47,9.5,
02:32:28,24.6,100.5,6.2,6891,100,1.17,9.8,
02:33:28,24.7,100.3,6.2,6891,100,1.13,11.4,
02:34:28,24.6,100.4,6.2,6891,100,1.22,13.0,
02:35:28,24.6,100.5,6.2,6891,100,1.17,14.5,
02:36:28,24.6,100.4,6.2,6891,100,1.31,16.1,
02:37:28,24.8,100.3,6.2,6891,100,1.11,9.5,
02:38:28,24.6,100.5,6.2,6891,100,1.19,9.8,
02:39:28,24.5,100.5,6.2,6891,100,1.19,11.4,
02:40:28,24.6,100.4,6.2,6891,100,1.22,13.0,
02:41:28,24.6,100.5,6.2,6891,100,1.19,14.5,
02:42:28,24.6,100.4,6.2,6891,100,1.18,16.1,
02:43:28,24.6,100.4,6.2,6891,100,1.19,9.5,
02:44:28,24.5,100.5,6.2,6891,100,1.15,9.8,
02:45:28,24.5,100.5,6.2,6891,100,1.24,11.4,
02:46:28,24.6,100.4,6.2,6891,100,1.09,13.0,
02:47:29,24.5,100.5,6.2,6891,100,1.10,14.5,
02:48:29,24.6,100.4,6.2,6891,100,1.17,16.0,
02:49:29,24.5,100.5,6.2,6891,100,1.23,9.5,
02:50:29,24.5,100.6,6.2,6891,100,1.19,9.8,
02:51:29,24.7,100.4,6.2,6891,100,1.75,11.4,
02:52:29,24.7,100.3,6.2,6891,100,1.39,13.0,
02:53:29,24.6,100.5,6.2,6891,100,1.29,14.5,
02:54:29,24.7,100.3,6.2,6891,100,1.67,16.0,
02:55:29,24.5,100.6,6.2,6891,100,1.36,9.4,
02:56:29,24.6,100.5,6.2,6891,100,1.33,9.8,
02:57:29,24.6,100.5,6.2,6891,100,1.42,11.4,
02:58:29,24.6,100.5,6.2,6891,100,1.23,13.0,
02:59:29,24.6,100.4,6.2,6891,100,1.95,14.5,
03:00:29,24.6,100.4,6.2,6891,100,1.50,16.0,
03:01:29,24.5,100.5,6.2,6891,100,1.34,9.4,
03:02:29,24.5,100.5,6.2,6891,100,1.22,9.8,
03:03:30,24.7,100.4,6.2,6891,100,1.14,11.4,
03:04:30,24.6,100.4,6.2,6891,100,1.26,13.0,
03:05:30,24.6,100.4,6.2,6891,100,1.33,14.5,
03:06:30,24.6,100.4,6.2,6891,100,1.12,16.0,
03:07:30,24.5,100.5,6.2,6891,100,1.70,9.4,
03:08:30,24.5,100.6,6.2,6891,100,1.62,9.8,
03:09:30,24.6,100.4,6.2,6891,100,1.32,11.4,
03:10:30,24.5,100.5,6.2,6891,100,1.23,13.0,
